Geography 2,Sex,Age group,Reference period,Total unemployed,Temporary layoff,Job searchers,Worked,Job leavers,Job losers permanent layoff,Reason for leaving/losing job unknown,Were not in the labour force,Kept house,Attended school,Other reasons,Future starts
,,,2020,247.4,60.6,179.8,89.7,12.3,66.7,10.8,90.1,56.6,15,18.4,7
,,,2021,221.6,23.2,188.8,93.5,10.4,46.6,36.5,95.3,61.2,14.6,19.5,9.6
,,25 to 54 years,2019,110.5,3.6,100.1,43.5,10.4,24.2,9,56.6,35,9.9,11.7,6.8
,,,2020,192.1,42,144.7,69.5,10.1,52,7.5,75.2,46.8,14.7,13.7,5.3
,,,2021,162.3,17,137.6,64.6,8.1,34.5,22,73,47.8,13.8,11.4,7.6
,,55 years and over,2019,31.7,x,28.3,16.6,2.5,8.9,5.3,11.7,7.1,x,4.1,2.4
,,,2020,55.3,18.6,35.1,20.2,2.2,14.7,3.3,14.9,9.8,x,4.7,1.6
,,,2021,59.3,6.2,51.2,29,2.4,12,14.6,22.2,13.4,x,8,2
,,55 to 64 years,2019,27.1,x,23.8,14.2,2.2,7.6,4.3,9.6,5.9,x,3.2,2.4
,,,2020,44.4,13.5,29.3,17.4,1.8,12.9,2.8,11.8,7.9,x,3.6,1.6
,,,2021,46.9,5,40,23.3,1.7,10.7,10.9,16.6,10.7,x,5.2,2
,,65 years and over,2019,4.6,x,4.5,2.4,x,x,x,2.1,x,x,x,x
,,,2020,10.9,5.1,5.8,2.7,x,1.8,x,3.1,1.9,x,x,x
,,,2021,12.4,x,11.2,5.6,x,x,3.6,5.6,2.7,x,2.9,x
Manitoba,Males,15 years and over,2019,21.8,1.1,19.7,9.3,1.7,6.3,1.3,10.4,2.7,5.3,2.4,0.9
,,,2020,29.8,5.2,23.7,11.6,1.5,9.1,1.1,12.1,3.6,5.8,2.7,0.9
,,,2021,23.5,1.9,20.8,10,1.3,5.8,2.9,10.9,3.6,5.3,2,0.8
,,15 to 24 years,2019,8.1,x,7.5,1.7,x,1.4,x,5.8,0.6,4.5,0.7,x
,,,2020,9.6,1.4,7.9,2,x,1.6,x,5.9,0.8,4.6,0.5,x
,,,2021,7.2,x,6.7,1.5,x,1,x,5.1,0.5,4.3,x,x
,,25 years and over,2019,13.7,0.9,12.2,7.6,1.5,4.9,1.2,4.6,2.1,0.8,1.7,0.6
,,,2020,20.2,3.8,15.9,9.7,1.1,7.5,1,6.2,2.8,1.2,2.1,0.6
,,,2021,16.3,1.6,14.1,8.4,0.9,4.7,2.8,5.7,3,1.1,1.6,0.6
,,25 to 54 years,2019,10.6,0.7,9.5,5.8,1.2,3.8,0.8,3.6,1.7,0.8,1.2,x
,,,2020,15.9,2.8,12.7,7.7,0.9,6.1,0.7,5,2.3,1.2,1.5,x
,,,2021,12.5,1,11.1,6.6,0.7,3.8,2,4.5,2.3,1,1.1,x
,,55 years and over,2019,3.1,x,2.7,1.7,x,1.1,x,1,x,x,0.5,x
,,,2020,4.3,0.9,3.2,2,x,1.4,x,1.2,0.5,x,0.7,x
,,,2021,3.9,0.6,3,1.8,x,0.9,0.8,1.2,0.7,x,0.5,x
,,55 to 64 years,2019,2.7,x,2.3,1.5,x,1,x,0.8,x,x,x,x
,,,2020,3.5,0.6,2.7,1.7,x,1.3,x,1,0.5,x,0.5,x
,,,2021,2.7,x,2.2,1.3,x,0.7,0.5,0.9,0.5,x,x,x
,,65 years and over,2019,x,x,x,x,x,x,x,x,x,x,x,x
,,,2020,0.8,x,0.5,x,x,x,x,x,x,x,x,x
,,,2021,1.2,x,0.9,0.5,x,x,x,x,x,x,x,x
,Females,15 years and over,2019,15.3,x,14.1,4.9,1.5,2.7,0.7,9.3,4.5,3.2,1.6,0.8
,,,2020,25,6.3,17.6,7.6,1.3,5.3,1,9.9,4,4.7,1.2,1.2
,,,2021,21.1,1.7,18.1,7.3,1.2,4.1,1.9,10.8,5,4.3,1.6,1.3
,,15 to 24 years,2019,4.4,x,4.2,0.7,x,x,x,3.5,0.5,2.6,x,x
